ShortName,Variable,LongName,Source
P9,APAC.FOS.BREW.FM.UT080.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT079.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT078.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT077.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT076.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT075.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT074.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT073.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT072.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT071.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT070.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT069.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT068.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT067.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT066.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT065.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT064.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT063.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT062.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT061.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT060.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT059.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT058.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT057.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT056.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT055.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT054.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT053.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT052.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT051.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT050.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT049.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT048.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT047.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT046.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT045.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT044.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT043.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT042.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT041.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT040.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT039.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT038.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT037.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT036.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT035.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT034.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT033.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT032.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT031.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT030.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT029.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT028.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT027.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT026.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT025.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT024.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT023.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT022.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT021.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT020.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT019.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT018.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT017.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT016.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT015.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT014.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT013.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT012.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT011.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT010.PI08,TSM,Historian
P9,APAC.FOS.BREW.FM.UT009.PI08,TSM,Historian
